City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Zhezkazgan,KZ,77.72,clear sky,47.8043,67.7144,Hotel Zumrat
172,Celestun,MX,86.54,overcast clouds,20.8667,-90.4,Posada Lilia
175,Farrukhnagar,IN,76.71,broken clouds,17.0778,78.2011,Musthafa Five Star Kiranam
182,Tual,ID,79.81,broken clouds,-5.6667,132.75,Grand Vilia Hotel
183,Medicine Hat,CA,85.57,smoke,50.0501,-110.6683,Sun Dek Motel
184,Teacapan,MX,88.21,few clouds,22.55,-105.75,Hotel los Mangos
185,La Cruz,MX,88.39,broken clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
186,Hithadhoo,MV,80.92,moderate rain,-0.6,73.0833,Scoop Guest House
189,Mizque,BO,79.12,clear sky,-17.941,-65.3402,Hotel Mizque Boutique
190,Yangcun,CN,80.58,broken clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
191,Mogadishu,SO,76.55,light rain,2.0371,45.3438,Hotel Juba
193,Mingshui,CN,76.06,few clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
201,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
206,Bandarbeyla,SO,76.3,clear sky,9.4942,50.8122,JABIR HOTEL
207,Remuna,IN,84.4,overcast clouds,21.5261,86.8722,Nocci Residency
208,Trairi,BR,80.28,few clouds,-3.2778,-39.2689,janelas do mar
211,Rodrigues Alves,BR,89.8,broken clouds,-7.738,-72.6509,Pousada Aconchego
216,Alberton,CA,75.33,few clouds,46.8168,-64.0654,La Petite France B&B
219,Cape Coast,GH,75.63,few clouds,5.1053,-1.2466,Samrit Hotel
222,Korla,CN,86.58,clear sky,41.7597,86.1469,Gulisitan Hotel
223,Minas Novas,BR,76.15,clear sky,-17.2186,-42.5903,J K Palace Hotel
224,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
226,Brasilia,BR,76.62,clear sky,-15.7797,-47.9297,Grand Mercure Brasilia Eixo Monumental
228,Thunder Bay,CA,87.71,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
230,Tateyama,JP,80.02,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
234,Bethel,US,81.19,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
236,Hambantota,LK,79.92,overcast clouds,6.1241,81.1185,Bungalow 63
241,Gwadar,PK,82.24,overcast clouds,25.1216,62.3254,Sadaf Resort
244,Tempio Pausania,IT,77.92,broken clouds,40.8974,9.1035,Hotel Pausania Inn
246,Westport,US,83.28,overcast clouds,41.1415,-73.3579,The Westport Inn
250,Vila Velha,BR,77.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
253,Lunca,RO,77.68,clear sky,43.8333,24.7667,Str pop culicovschi
256,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
259,Tezu,IN,77.22,overcast clouds,27.9167,96.1667,Circuit House
272,Mamallapuram,IN,80.65,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
273,Veraval,IN,79.92,overcast clouds,20.9,70.3667,Lords Inn Somnath
274,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
280,Chabahar,IR,85.14,scattered clouds,25.2919,60.643,هتل گدروشیا
284,Gallup,US,79.02,scattered clouds,35.5281,-108.7426,El Capitan Motel
286,Plattsburgh,US,84.96,scattered clouds,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
287,Kyaukse,MM,78.12,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
288,Ponta Do Sol,PT,79.0,clear sky,32.6667,-17.1,Hotel do Campo
289,Padang,ID,77.83,clear sky,-0.9492,100.3543,Mercure Padang
294,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
296,Matara,LK,77.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
297,Faanui,PF,78.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
306,Mana,GF,79.86,overcast clouds,5.6592,-53.7767,LE SAMANA
307,Half Moon Bay,US,89.53,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
308,Amahai,ID,76.03,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
309,Balingasay,PH,82.58,overcast clouds,16.3573,119.8564,Rock Garden Resort
311,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
319,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
322,Daru,PG,76.48,light rain,-9.0763,143.2092,Daru Lodge
324,Lodwar,KE,78.51,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
327,Dhidhdhoo,MV,81.66,overcast clouds,6.8833,73.1,Dhidhoo beach
332,Camacha,PT,75.52,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
337,Borodyanka,UA,75.38,few clouds,50.6448,29.9201,"Country club, hotel and restaurant ""Four seasons"""
338,La Union,PE,80.46,few clouds,-5.4,-80.75,Los Portales
339,Muyuka,CM,78.4,overcast clouds,4.2898,9.4103,Muyuka Motor Park (El Paso)
341,Broome,US,86.9,broken clouds,42.2506,-75.833,Chenango Valley State Park
344,Nabire,ID,75.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
347,Palmer,US,75.99,overcast clouds,42.1584,-72.3287,Wedgewood Motel
352,Hami,CN,85.69,clear sky,42.8,93.45,Laoyutang Resort
354,Nieuw Amsterdam,SR,87.96,scattered clouds,5.8833,-55.0833,Globe Hotel
356,Chau Doc,VN,76.3,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
357,Suez,EG,79.48,clear sky,29.9737,32.5263,Green House
366,Sohag,EG,86.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
