,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Zeya,RU,53.75,127.2667,61.21,95,83,3.24,moderate rain
272,Mamallapuram,IN,12.6264,80.1722,80.65,69,100,14.76,overcast clouds
273,Veraval,IN,20.9,70.3667,79.92,86,100,9.69,overcast clouds
274,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,9.22,scattered clouds
275,Buraydah,SA,26.326,43.975,102.65,13,3,10.71,clear sky
276,Asau,RO,46.4333,26.4,70.75,69,82,2.59,broken clouds
277,Agadir,MA,30.4202,-9.5982,73.85,63,0,4.03,clear sky
278,Atasu,KZ,48.6814,71.6433,71.89,65,9,16.73,clear sky
279,Kunming,CN,25.0389,102.7183,58.93,94,0,4.47,clear sky
280,Chabahar,IR,25.2919,60.643,85.14,79,44,0.85,scattered clouds
281,Pangody,RU,65.85,74.4859,48.88,85,100,10.6,overcast clouds
282,Grand Gaube,MU,-20.0064,57.6608,70.2,60,8,5.99,clear sky
283,Dickinson,US,29.4608,-95.0513,98.19,60,20,3.0,few clouds
284,Gallup,US,35.5281,-108.7426,79.02,44,40,1.01,scattered clouds
285,Tiksi,RU,71.6872,128.8694,48.25,81,100,6.38,overcast clouds
286,Plattsburgh,US,44.6995,-73.4529,84.96,57,40,3.44,scattered clouds
287,Kyaukse,MM,21.6,96.1333,78.12,87,99,7.52,overcast clouds
288,Ponta Do Sol,PT,32.6667,-17.1,79.0,80,1,4.38,clear sky
289,Padang,ID,-0.9492,100.3543,77.83,86,9,3.47,clear sky
290,Christchurch,NZ,-43.5333,172.6333,53.01,82,100,8.01,light rain
291,Havoysund,NO,70.9963,24.6622,47.28,74,100,7.45,overcast clouds
292,Ulladulla,AU,-35.35,150.4667,55.87,63,4,12.55,clear sky
293,Marawi,PH,7.9986,124.2928,70.65,89,94,5.41,overcast clouds
294,Hasaki,JP,35.7333,140.8333,75.6,79,10,15.75,clear sky
295,Teguise,ES,29.0605,-13.564,71.82,69,20,26.46,few clouds
296,Matara,LK,5.9485,80.5353,77.97,86,99,10.85,overcast clouds
297,Faanui,PF,-16.4833,-151.75,78.01,66,0,12.86,clear sky
298,Dali,CN,25.7,100.1833,61.05,85,47,1.03,scattered clouds
299,Bundaberg,AU,-24.85,152.35,52.21,57,13,1.99,few clouds
300,Abha,SA,18.2164,42.5053,66.02,94,100,3.44,overcast clouds
301,Tuatapere,NZ,-46.1333,167.6833,47.82,95,100,4.74,moderate rain
302,Hofn,IS,64.2539,-15.2082,52.02,94,100,19.93,overcast clouds
303,Ornskoldsvik,SE,63.2909,18.7153,68.95,68,40,3.44,scattered clouds
304,Hendersonville,US,36.3048,-86.62,96.85,47,33,4.85,scattered clouds
305,Saint-Avold,FR,49.1027,6.7006,66.43,91,56,4.68,broken clouds
306,Mana,GF,5.6592,-53.7767,79.86,76,92,5.48,overcast clouds
307,Half Moon Bay,US,37.4636,-122.4286,89.53,66,20,1.01,few clouds
308,Amahai,ID,-3.3333,128.9167,76.03,87,99,3.6,overcast clouds
309,Balingasay,PH,16.3573,119.8564,82.58,84,100,19.19,overcast clouds
310,Chengde,CN,40.9725,117.9361,68.95,96,99,3.0,overcast clouds
311,Nouakchott,MR,18.0858,-15.9785,80.53,82,5,14.29,clear sky
312,Illela,NG,13.7292,5.2975,88.36,52,94,16.06,overcast clouds
313,Okmulgee,US,35.6234,-95.9605,97.92,38,1,3.44,clear sky
314,Farafangana,MG,-22.8167,47.8333,65.66,67,100,8.9,overcast clouds
315,Neryungri,RU,56.6709,124.6491,51.04,95,13,6.44,few clouds
316,Pochutla,MX,15.7432,-96.4661,92.82,53,94,7.47,overcast clouds
317,Southbridge,US,42.0751,-72.0334,73.63,92,100,1.01,overcast clouds
318,Shellbrook,CA,53.2168,-106.4011,72.63,32,100,10.78,overcast clouds
319,Kahului,US,20.8947,-156.47,83.46,84,40,16.11,scattered clouds
320,Shibetsu,JP,43.659,145.132,62.65,98,31,4.68,scattered clouds
321,Tanout,NE,14.9709,8.8879,90.9,43,94,17.63,overcast clouds
322,Daru,PG,-9.0763,143.2092,76.48,83,52,13.18,light rain
323,Zeerust,ZA,-25.5369,26.0751,41.81,48,0,3.06,clear sky
324,Lodwar,KE,3.1191,35.5973,78.51,47,100,8.86,overcast clouds
325,Florianopolis,BR,-27.6146,-48.5012,73.26,65,0,1.99,clear sky
326,Kununurra,AU,-15.7667,128.7333,58.98,82,99,4.61,overcast clouds
327,Dhidhdhoo,MV,6.8833,73.1,81.66,78,100,18.68,overcast clouds
328,Bani,DO,18.2833,-70.3333,90.84,63,54,10.25,broken clouds
329,Biak,ID,-0.9131,122.8766,74.55,83,65,5.61,broken clouds
330,Santa Cruz Cabralia,BR,-16.2781,-39.0247,68.23,94,75,16.11,mist
331,Irbil,IQ,36.1926,44.0106,96.62,16,0,4.61,clear sky
332,Camacha,PT,33.0833,-16.3333,75.52,83,40,14.97,scattered clouds
333,Zhangjiakou,CN,40.81,114.8794,71.49,90,100,4.43,light rain
334,Ouesso,CG,1.6136,16.0517,73.35,86,100,4.05,light rain
335,Gamba,GA,-2.65,10.0,71.24,88,97,3.94,overcast clouds
336,Haines Junction,CA,60.7522,-137.5108,57.15,62,98,1.14,overcast clouds
337,Borodyanka,UA,50.6448,29.9201,75.38,53,15,4.47,few clouds
338,La Union,PE,-5.4,-80.75,80.46,51,16,16.75,few clouds
339,Muyuka,CM,4.2898,9.4103,78.4,90,97,1.83,overcast clouds
340,Mushie,CD,-3.0167,16.9,80.96,33,100,1.81,overcast clouds
341,Broome,US,42.2506,-75.833,86.9,64,75,1.99,broken clouds
342,Muros,ES,42.7762,-9.0603,70.84,67,7,10.18,clear sky
343,Atar,MR,20.5169,-13.0499,104.85,13,97,1.34,overcast clouds
344,Nabire,ID,-3.3667,135.4833,75.9,88,100,4.0,overcast clouds
345,Chistoye,RU,56.5375,43.0045,61.23,50,100,3.49,overcast clouds
